,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
24,25,Artur Jorge Marques Amorim,pt POR,DF,Moreirense,26,1994,22.2,26,18,14,11,1,15,24,62.5,9,23,12,11,34,60,87,1,Matches
25,26,Anderson,br BRA,"FW,MF",Portimonense,23,1998,11.4,18,11,6,8,4,7,19,36.8,12,13,0,13,5,23,3,0,Matches
26,27,Rodrigo Andrad,pt POR,MF,Marítimo,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
27,28,Léo Andrade,br BRA,DF,Marítimo,23,1998,14.3,28,20,21,7,0,14,20,70.0,6,30,21,9,20,48,78,0,Matches
28,29,André André,pt POR,MF,Vitória,31,1989,10.4,23,15,5,11,7,10,19,52.6,9,9,5,4,8,31,3,0,Matches
29,30,Mauro Andrés Caballero,py PAR,FW,Arouca,26,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
30,31,Andrew,br BRA,GK,Gil Vicente FC,20,2001,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1,Matches
31,32,Iván Angulo,co COL,"FW,MF",Portimonense,22,1999,26.2,38,23,17,13,8,17,36,47.2,19,23,1,22,24,62,27,0,Matches
32,33,Antony,br BRA,"FW,MF",Arouca,19,2001,7.4,21,12,11,6,4,9,20,45.0,11,9,0,9,7,28,3,0,Matches
33,34,Vitorino Antunes,pt POR,DF,Paços,34,1987,28.2,51,29,29,19,3,31,54,57.4,23,19,6,13,31,82,67,0,Matches
34,35,Bilel Aouacheria,fr FRA,"FW,MF",Gil Vicente FC,27,1994,7.1,7,3,1,4,2,2,3,66.7,1,5,0,5,4,11,5,0,Matches
35,36,Wilinton Aponzá,co COL,"FW,MF",Portimonense,21,2000,8.3,5,1,1,3,1,3,5,60.0,2,6,0,6,1,6,7,0,Matches
36,37,Brian Araújo,fr FRA,GK,Gil Vicente FC,21,2000,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
37,38,Henrique Araújo,pt POR,FW,Benfica,19,2002,1.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
38,39,Guilherme Araújo Soares,pt POR,DF,Braga,20,2001,0.5,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,1,0,Matches
39,40,Tiago Araújo,pt POR,"DF,FW",Arouca,20,2001,5.3,12,8,9,3,0,7,15,46.7,8,8,2,6,2,14,13,0,Matches
40,41,Tomás Araújo,pt POR,DF,Benfica,19,2002,1.1,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,5,0,Matches
41,42,Telmo Arcanjo,cv CPV,"MF,FW",Tondela,20,2001,1.4,3,3,1,2,0,0,0,,0,2,0,2,0,3,0,0,Matches
42,43,Arthur,br BRA,"FW,MF",Estoril,23,1998,24.4,32,19,9,14,9,8,25,32.0,17,20,1,19,15,47,17,0,Matches
43,44,Gustavo Assuncao,pt POR,MF,Famalicão,21,2000,6.7,21,13,10,10,1,12,24,50.0,12,6,1,5,5,26,13,0,Matches
44,45,Fernando Augusto,br BRA,GK,Arouca,24,1997,6.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
45,46,Javier Avilés,es ESP,"MF,FW",Tondela,23,1997,1.7,3,2,1,1,1,3,5,60.0,2,3,0,3,1,4,0,0,Matches
46,47,Chidozie Awaziem,ng NGA,DF,Boavista,24,1997,3.0,4,2,2,2,0,2,2,100.0,0,3,3,0,2,6,19,0,Matches
47,48,Abdoulaye Ba,sn SEN,DF,Arouca,30,1991,14.9,21,11,17,4,0,10,17,58.8,7,13,7,6,29,50,64,0,Matches
48,49,Abdoulaye Ba,sn SEN,DF,Moreirense,30,1991,1.0,4,2,3,1,0,3,3,100.0,0,1,0,1,1,5,3,0,Matches
49,50,Marco Baixinho,pt POR,DF,Paços,32,1989,24.3,20,12,16,3,1,9,22,40.9,13,34,21,13,45,65,68,1,Matches
50,51,Ibrahima Bamba,ci CIV,MF,Vitória,19,2002,3.3,8,4,2,5,1,5,6,83.3,1,4,0,4,9,17,6,0,Matches
51,52,Daniel Bandeira,pt POR,MF,Vitória,21,2000,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
52,53,Simon Banza,fr FRA,FW,Famalicão,24,1996,25.9,16,10,4,7,5,5,14,35.7,9,14,2,12,9,25,32,0,Matches
53,54,Yves Baraye,sn SEN,"FW,MF",B-SAD,29,1992,11.8,16,5,8,4,4,9,16,56.3,7,20,2,18,13,29,10,0,Matches
54,55,Rafael Barbosa,pt POR,"MF,FW",Tondela,25,1996,19.2,18,8,4,9,5,7,23,30.4,16,12,1,11,9,27,4,0,Matches
55,56,Romário Baró,pt POR,MF,Estoril,21,2000,4.3,7,2,2,3,2,3,8,37.5,5,2,1,1,2,9,3,0,Matches
56,57,Oscar Barreto,co COL,"FW,MF",Santa Clara,28,1993,3.9,13,8,6,4,3,6,12,50.0,6,8,0,8,4,17,3,0,Matches
57,58,Gil Bastião Dias,pt POR,"DF,FW",Benfica,24,1996,7.3,19,11,9,6,4,8,16,50.0,8,9,0,9,12,31,5,0,Matches
58,59,Dylan Batubinsika,fr FRA,DF,Famalicão,25,1996,16.7,22,14,15,7,0,10,15,66.7,5,20,17,3,41,63,76,1,Matches
59,60,Clésio Baúque,mz MOZ,"DF,FW",Marítimo,26,1994,5.3,9,7,7,1,1,4,8,50.0,4,4,0,4,8,17,9,0,Matches
60,61,Bebeto,br BRA,"DF,MF",Tondela,31,1990,15.4,69,49,41,24,4,44,73,60.3,29,27,2,25,31,100,29,0,Matches
61,62,Alireza Beiranvand,ir IRN,GK,Boavista,28,1992,7.5,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,9,1,Matches
62,63,Stefano Beltrame,it ITA,MF,Marítimo,28,1993,15.4,11,4,4,5,2,3,13,23.1,10,15,2,13,18,29,7,0,Matches
63,64,Berna,pt POR,MF,Braga,18,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
64,65,Paulo Bernardo,pt POR,MF,Benfica,19,2002,8.7,26,13,6,16,4,13,28,46.4,15,15,4,11,8,34,5,0,Matches
65,66,Beto,gw GNB,FW,Portimonense,23,1998,3.0,0,0,0,0,0,0,2,0.0,2,4,0,4,0,0,4,0,Matches
66,67,Aylton Boa Morte,pt POR,"FW,MF",Portimonense,27,1993,12.3,10,6,3,2,5,7,19,36.8,12,7,0,7,6,16,8,0,Matches
67,68,Kennedy Boateng,tg TOG,DF,Santa Clara,24,1996,23.3,43,35,34,9,0,25,31,80.6,6,14,9,5,35,78,107,2,Matches
68,69,Kiko Bondoso,pt POR,FW,FC Vizela,25,1995,30.2,33,18,8,16,9,18,51,35.3,33,18,4,14,16,49,18,0,Matches
69,70,Trova Boni,bf BFA,MF,B-SAD,21,1999,4.9,13,6,7,6,0,7,13,53.8,6,4,2,2,9,22,6,0,Matches
70,71,Toni Borevkovic,hr CRO,DF,Vitória,24,1997,22.1,21,11,18,3,0,13,25,52.0,12,15,9,6,35,56,69,3,Matches
71,72,Gonçalo Borges,pt POR,MF,Porto,20,2001,0.1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
72,73,Neto Borges,br BRA,"DF,MF",Tondela,24,1996,23.7,53,35,34,17,2,24,41,58.5,17,23,5,18,49,102,67,0,Matches
73,74,Pedro Borges,br BRA,MF,Tondela,24,1997,22.1,66,40,29,34,3,24,63,38.1,39,33,6,27,28,94,31,0,Matches
74,75,Mohamed Bouldini,ma MAR,FW,Santa Clara,25,1995,1.7,2,1,0,1,1,1,1,100.0,0,2,2,0,0,2,2,0,Matches
75,76,Rafael Bracalli,br BRA,GK,Boavista,40,1981,26.5,2,1,2,0,0,1,2,50.0,1,0,0,0,3,5,19,1,Matches
76,77,Victor Braga,br BRA,GK,Arouca,29,1992,23.1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,19,2,Matches
77,78,Daniel Bragança,pt POR,MF,Sporting CP,22,1999,8.7,25,15,10,12,3,15,27,55.6,12,10,0,10,17,42,1,0,Matches
78,79,Pedro Brazão,pt POR,"MF,FW",Famalicão,18,2002,4.2,5,5,4,1,0,4,10,40.0,6,8,1,7,2,7,1,0,Matches
79,80,Brunão,br BRA,MF,Arouca,24,1997,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
80,81,Bruninho,br BRA,FW,Arouca,22,1999,3.3,4,2,0,2,2,1,2,50.0,1,6,0,6,1,5,1,0,Matches
81,82,David Bruno,pt POR,DF,Estoril,29,1992,13.5,11,8,9,1,1,6,13,46.2,7,13,9,4,16,27,28,0,Matches
82,83,Matheus Bueno,br BRA,"MF,FW",Gil Vicente FC,23,1998,7.3,9,7,4,3,2,2,4,50.0,2,7,1,6,3,12,3,0,Matches
83,84,André Bukia,cd COD,"FW,MF",Arouca,26,1995,28.5,24,12,9,8,7,18,34,52.9,16,22,0,22,15,39,9,0,Matches
84,85,Leonardo Buta,pt POR,DF,Braga,19,2002,1.5,1,0,0,1,0,1,1,100.0,0,2,1,1,4,5,3,0,Matches
85,86,Adrián Butzke,es ESP,FW,Paços,22,1999,6.4,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,7,0,Matches
86,87,Jovane Cabral,cv CPV,"MF,FW",Sporting CP,23,1998,3.8,5,2,0,3,2,1,6,16.7,5,4,0,4,1,6,1,0,Matches
87,88,Paulo Henrique Rodrigues Cabral,pt POR,DF,Santa Clara,24,1996,13.9,14,5,12,2,0,7,11,63.6,4,12,6,6,11,25,28,0,Matches
88,89,Jhonder Cádiz,ve VEN,"FW,DF",Famalicão,26,1995,5.0,4,3,1,2,1,1,4,25.0,3,3,0,3,2,6,2,0,Matches
89,90,João Caiado,pt POR,FW,Gil Vicente FC,22,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
90,91,Juan Calero,co COL,FW,Gil Vicente FC,22,1998,1.6,0,0,0,0,0,0,3,0.0,3,1,0,1,1,1,2,0,Matches
91,92,Diogo Calila,pt POR,"DF,MF",B-SAD,22,1998,21.3,28,16,21,7,0,20,28,71.4,8,26,11,15,17,45,58,0,Matches
92,93,Rafael Camacho,pt POR,"FW,MF",B-SAD,21,2000,9.8,7,7,2,3,2,4,6,66.7,2,4,0,4,2,9,7,0,Matches
93,94,Abel Camará,gw GNB,FW,B-SAD,31,1990,17.3,18,12,7,8,3,7,20,35.0,13,15,5,10,8,26,10,0,Matches
94,95,Ibrahima Camará,gn GUI,MF,Moreirense,22,1999,18.9,30,16,8,18,4,10,32,31.3,22,9,3,6,12,42,12,0,Matches
95,96,Gastón Campi,ar ARG,DF,Arouca,30,1991,4.0,3,3,1,2,0,0,4,0.0,4,4,3,1,8,11,8,0,Matches
96,97,Fali Candé,gw GNB,DF,Portimonense,23,1998,14.6,31,20,23,8,0,18,28,64.3,10,9,6,3,5,36,45,0,Matches
97,98,Francis Cann,gh GHA,"FW,MF",FC Vizela,23,1998,2.4,7,3,3,2,2,0,7,0.0,7,2,1,1,3,10,1,0,Matches
98,99,Reggie Cannon,us USA,DF,Boavista,23,1998,19.0,43,30,34,7,2,25,32,78.1,7,17,9,8,37,80,37,0,Matches
99,100,Fábio Cardoso,pt POR,DF,Porto,27,1994,12.0,8,4,4,4,0,7,10,70.0,3,11,9,2,10,18,34,0,Matches
100,101,Carlinhos,br BRA,MF,Portimonense,27,1994,25.4,41,24,23,15,3,16,42,38.1,26,27,8,19,16,57,15,1,Matches
101,102,Carlos,br BRA,FW,Santa Clara,25,1995,2.0,5,2,2,3,0,2,3,66.7,1,1,0,1,0,5,2,0,Matches
102,103,José Carlos,pt POR,DF,Gil Vicente FC,23,1998,27.3,57,35,30,19,8,27,50,54.0,23,27,11,16,41,98,73,0,Matches
103,104,Luíz Carlos,br BRA,MF,Paços,36,1985,28.9,66,49,21,38,7,29,76,38.2,47,32,14,18,28,94,33,0,Matches
104,105,João Carlos Teixeira,pt POR,"FW,MF",Famalicão,28,1993,8.8,9,3,0,5,4,4,11,36.4,7,9,1,8,4,13,6,0,Matches
105,106,David Carmo,pt POR,DF,Braga,22,1999,11.0,7,4,5,2,0,3,9,33.3,6,11,8,3,13,20,38,0,Matches
106,107,Carraça,pt POR,"DF,MF",B-SAD,28,1993,24.5,34,28,17,11,6,22,45,48.9,23,19,7,12,27,61,53,0,Matches
107,108,Anderson Carvalho,br BRA,MF,Santa Clara,31,1990,21.1,63,40,21,36,6,25,62,40.3,37,15,3,12,42,105,24,0,Matches
108,109,Duarte Carvalho,pt POR,MF,Estoril,19,2002,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
109,110,Martim Carvalho,pt POR,MF,Benfica,18,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
110,111,Vitor Carvalho,br BRA,MF,Gil Vicente FC,24,1997,24.8,53,28,18,29,6,22,54,40.7,32,28,8,20,33,86,50,1,Matches
111,112,Cassiano,br BRA,FW,FC Vizela,32,1989,17.7,22,10,3,13,6,6,16,37.5,10,17,3,14,5,27,9,0,Matches
112,113,Mateo Cassierra,co COL,FW,B-SAD,24,1997,1.9,2,2,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
113,114,Moises Castillo,co COL,"DF,FW",Marítimo,20,2001,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
114,115,André Castro,pt POR,MF,Braga,33,1988,12.8,25,11,4,13,8,8,27,29.6,19,20,5,15,10,35,11,0,Matches
115,116,Tomás Castro,pt POR,MF,B-SAD,22,1999,0.6,4,3,2,1,1,2,5,40.0,3,0,0,0,0,4,0,0,Matches
116,117,Geny Catamo,mz MOZ,DF,Sporting CP,20,2001,0.3,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0,Matches
117,118,Geny Catamo,mz MOZ,"FW,MF",Vitória,20,2001,2.5,1,1,0,1,0,1,2,50.0,1,2,0,2,0,1,1,1,Matches
118,119,Charles,br BRA,GK,FC Vizela,27,1994,14.0,1,0,1,0,0,1,4,25.0,3,0,0,0,1,2,9,2,Matches
119,120,Francisco Chico,pt POR,"MF,FW",B-SAD,23,1998,6.1,9,4,4,3,2,5,10,50.0,5,7,2,5,5,14,3,0,Matches
120,121,Fábio China,pt POR,DF,Marítimo,29,1992,6.4,12,6,5,6,1,5,8,62.5,3,6,1,5,9,21,22,1,Matches
121,122,Chiquinho,pt POR,FW,Estoril,21,2000,9.3,24,16,11,8,5,9,21,42.9,12,6,1,5,5,29,4,0,Matches
122,123,Chiquinho,pt POR,"MF,FW",Braga,26,1995,2.3,0,0,0,0,0,0,3,0.0,3,1,1,0,1,1,2,0,Matches
123,124,André Clóvis,br BRA,FW,Estoril,23,1997,9.7,5,2,1,3,1,2,6,33.3,4,9,2,7,6,11,4,0,Matches
124,125,Sebastián Coates,uy URU,DF,Sporting CP,30,1990,29.3,42,28,25,17,0,27,39,69.2,12,28,19,9,42,84,65,4,Matches
125,126,Racine Coly,sn SEN,DF,Estoril,25,1995,1.9,1,1,1,0,0,0,3,0.0,3,2,0,2,0,1,3,0,Matches
126,127,Francisco Conceição,pt POR,"MF,FW",Porto,18,2002,5.5,9,7,1,4,4,5,11,45.5,6,4,0,4,1,10,1,0,Matches
127,128,Rodrigo Conceição,pt POR,"DF,MF",Moreirense,21,2000,4.3,11,9,8,3,0,7,14,50.0,7,1,1,0,3,14,12,0,Matches
128,129,Abdu Conté,pt POR,"DF,MF",Moreirense,23,1998,15.3,23,10,19,4,0,12,16,75.0,4,8,2,6,7,30,18,0,Matches
129,130,Jeriel Córdova,ve VEN,"FW,MF",Boavista,19,2002,2.3,4,4,2,1,1,1,2,50.0,1,2,0,2,0,4,1,0,Matches
130,131,Jesús Corona,mx MEX,"DF,MF",Porto,28,1993,4.3,3,1,0,3,0,1,2,50.0,1,2,0,2,7,10,3,0,Matches
131,132,Alexandre Manuel Penetra Correia,pt POR,DF,Famalicão,19,2001,28.9,42,29,25,15,2,28,43,65.1,15,15,9,6,68,110,105,0,Matches
132,133,Rui Filipe Cunha Correia,pt POR,MF,Santa Clara,26,1995,13.4,17,8,11,5,1,9,27,33.3,18,7,2,5,19,36,15,0,Matches
133,134,Bruno Xavier Almeida Costa,pt POR,"MF,DF",Porto,24,1997,7.5,15,8,3,11,1,8,16,50.0,8,9,1,8,8,23,5,0,Matches
134,135,Diogo Costa,pt POR,GK,Porto,21,1999,33.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,2,Matches
135,136,Edgar Costa,pt POR,"MF,FW",Marítimo,34,1987,14.4,21,14,6,12,3,8,20,40.0,12,10,2,8,6,27,5,1,Matches
136,137,Matheus Costa,br BRA,DF,Marítimo,26,1995,21.1,41,26,36,3,2,18,27,66.7,9,24,12,12,24,65,81,0,Matches
137,138,Murilo Costa,br BRA,"FW,MF",Gil Vicente FC,26,1994,9.4,13,5,5,7,1,6,15,40.0,9,10,0,10,8,21,7,0,Matches
138,139,Diogo Costa Rodrigues,pt POR,MF,Portimonense,21,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
139,140,Rui Costa,pt POR,FW,Santa Clara,25,1996,21.8,14,9,7,4,3,9,27,33.3,18,5,1,4,7,21,10,0,Matches
140,141,Tomás Costa Silva,pt POR,"FW,MF",FC Vizela,21,1999,0.4,1,1,1,0,0,0,0,,0,1,0,1,2,3,0,0,Matches
141,142,Vitor Costa,br BRA,DF,Marítimo,27,1994,28.4,100,63,60,37,3,57,95,60.0,38,35,9,26,46,146,78,1,Matches
142,143,Costinha,pt POR,FW,Santa Clara,28,1992,0.9,2,1,1,0,1,2,3,66.7,1,0,0,0,0,2,0,0,Matches
143,144,Filipe Couto,pt POR,MF,Marítimo,27,1994,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
144,145,Yan Couto,br BRA,"DF,MF",Braga,19,2002,20.0,31,19,19,9,3,17,35,48.6,18,29,5,24,23,54,15,0,Matches
145,146,Crespo,pt POR,"MF,FW",Estoril,24,1996,2.9,9,4,3,6,0,4,8,50.0,4,5,2,3,2,11,2,0,Matches
146,147,Sandro Cruz,pt POR,DF,Benfica,20,2001,1.8,4,4,3,1,0,2,5,40.0,3,3,1,2,2,6,8,0,Matches
147,148,Crysan,br BRA,FW,Santa Clara,25,1996,15.9,23,17,4,13,6,11,29,37.9,18,25,4,21,7,30,13,0,Matches
148,149,Lucas Cunha,br BRA,DF,Gil Vicente FC,24,1997,32.0,14,8,8,6,0,9,14,64.3,5,31,24,7,29,43,124,4,Matches
149,150,Sessi D'Almeida,bj BEN,MF,Tondela,25,1995,2.4,6,5,0,5,1,2,3,66.7,1,4,1,3,3,9,2,0,Matches
150,151,Oday Dabbagh,ps PLE,"FW,MF",Arouca,22,1998,7.6,5,5,3,1,1,1,9,11.1,8,8,1,7,4,9,6,0,Matches
151,152,Julien Dacosta,fr FRA,"DF,MF",Portimonense,25,1996,4.4,12,7,7,4,1,7,12,58.3,5,6,3,3,2,14,11,0,Matches
152,153,Renat Dadaşov,az AZE,FW,Tondela,22,1999,16.0,9,2,3,2,4,3,13,23.1,10,18,3,15,4,13,18,0,Matches
153,154,Dalberson,br BRA,GK,Famalicão,24,1997,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
154,155,Daniel,br BRA,FW,Tondela,25,1996,17.7,11,5,4,3,4,6,18,33.3,12,12,2,10,2,13,21,0,Matches
155,156,Tiago Dantas,pt POR,MF,Tondela,20,2000,12.2,13,10,8,5,0,10,20,50.0,10,7,3,4,11,24,3,0,Matches
156,157,Or Dasa,il ISR,"MF,FW",Arouca,22,1998,0.6,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,Matches
157,158,Hernán De La Fuente,ar ARG,"DF,MF",Famalicão,24,1997,10.3,19,14,9,6,4,13,28,46.4,15,14,3,11,15,34,15,0,Matches
158,159,Juan Delgado,cl CHI,"DF,FW",Paços,28,1993,21.9,47,27,21,17,9,28,68,41.2,40,30,2,28,19,66,31,1,Matches
159,160,Denílson,br BRA,FW,Paços,26,1995,20.1,5,2,1,3,1,4,12,33.3,8,9,0,9,3,8,20,0,Matches
160,161,Jordan van der Gaag,nl NED,"MF,FW",B-SAD,22,1999,2.0,4,3,3,0,1,0,4,0.0,4,2,0,2,0,4,2,0,Matches
161,162,Lamine Diaby,fr FRA,"MF,FW",Paços,24,1996,2.5,12,6,5,7,0,6,9,66.7,3,7,2,5,10,22,10,0,Matches
162,163,Luis Díaz,co COL,"MF,FW",Porto,24,1997,16.6,12,5,2,6,4,5,13,38.5,8,11,0,11,4,16,6,0,Matches
163,164,Marcelo Djaló,gw GNB,DF,Boavista,27,1993,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches
164,165,Matchoi Djaló,pt POR,"MF,FW",Paços,18,2003,7.9,12,7,2,8,2,5,14,35.7,9,9,1,8,2,14,2,0,Matches
165,166,Ivan Dolček,hr CRO,"DF,MF",Famalicão,21,2000,2.2,5,3,3,2,0,4,5,80.0,1,0,0,0,5,10,6,0,Matches
166,167,Bruno Duarte,br BRA,"FW,MF",Vitória,25,1996,11.2,6,4,1,4,1,1,8,12.5,7,4,0,4,4,10,15,0,Matches
167,168,Rodrigo Duarte,pt POR,FW,Sporting CP,16,2005,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
168,169,Marcus Edwards,eng ENG,"MF,FW",Sporting CP,22,1998,5.8,5,4,1,3,1,1,8,12.5,7,4,0,4,1,6,0,0,Matches
169,170,Marcus Edwards,eng ENG,FW,Vitória,22,1998,14.3,11,3,7,3,1,6,13,46.2,7,1,0,1,2,13,1,0,Matches
170,171,Ricardo Esgaio,pt POR,"DF,MF",Sporting CP,28,1993,16.3,39,27,18,16,5,20,47,42.6,27,25,5,20,14,53,22,0,Matches
171,172,Tiago Esgaio,pt POR,DF,Arouca,25,1995,10.2,13,7,7,6,0,5,14,35.7,9,18,3,15,12,25,20,0,Matches
172,173,Tiago Esgaio,pt POR,DF,Braga,25,1995,0.8,3,2,1,2,0,1,1,100.0,0,0,0,0,1,4,0,0,Matches
173,174,Dario Essugo,pt POR,MF,Sporting CP,16,2005,0.5,1,1,1,0,0,0,0,,0,0,0,0,4,5,0,0,Matches
174,175,Gonçalo Esteves,pt POR,"DF,FW",Sporting CP,17,2004,1.6,3,2,2,1,0,2,2,100.0,0,2,0,2,0,3,3,0,Matches
175,176,Luís Esteves,pt POR,MF,Vitória,23,1998,0.4,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0,Matches
176,177,Paulo Estrela Moreira,pt POR,MF,Portimonense,22,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
177,178,Oscar Estupiñan,co COL,FW,Vitória,24,1996,24.1,12,7,1,4,7,2,15,13.3,13,16,2,14,2,14,21,0,Matches
178,179,Friday Etim,ng NGA,"FW,MF",FC Vizela,19,2002,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
179,180,Stephen Eustáquio,ca CAN,MF,Porto,24,1996,1.0,5,5,2,1,2,5,5,100.0,0,2,1,1,3,8,1,1,Matches
180,181,Stephen Eustáquio,ca CAN,MF,Paços,24,1996,16.4,37,23,17,14,6,25,60,41.7,35,14,5,9,28,65,24,0,Matches
181,182,Evanilson,br BRA,FW,Porto,21,1999,22.5,22,17,2,9,11,6,13,46.2,7,22,1,21,5,27,13,0,Matches
182,183,Ewerton,br BRA,MF,Portimonense,28,1992,8.1,15,10,5,8,2,3,19,15.8,16,8,1,7,8,23,6,0,Matches
183,184,Fabiano,br BRA,"DF,MF",Braga,21,2000,15.8,38,25,18,14,6,21,30,70.0,9,13,3,10,23,61,40,0,Matches
